Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%),publish_month,subscriber_conversion_rate,subscriber_conversion_rate_pct
L3iD_fiwvLI,Don't Become a Data Analyst (Do THIS Instead),2025-10-02,635.0,158312,10178.7391,7238,1306.002,3904031,2.62,2025-10,0.04571984435797665,4.57
-cJJcK8kR_U,Why You MUST Go All In on Data Analytics & AI in 2026,2025-10-20,705.0,123214,7248.3216,5050,762.759,2070240,3.75,2025-10,0.04098560228545457,4.1
_8GBpihMjfI,There's No More Data Analyst Jobs…Now What?,2025-07-15,484.0,98725,4759.1582,4181,484.975,1890061,3.79,2025-07,0.042349962015700175,4.23
biJHe3M4kIU,What I’d Learn Instead of Data Science & ML in 2026,2025-09-22,564.0,88298,4452.0373,2149,497.452,1202900,5.2,2025-09,0.024338037101633105,2.43
eOr9vWPEjyE,Why the Google Data Analytics Certificate Won't Get You Hired (And What Will),2025-05-15,696.0,75219,4860.9514,3391,673.818,1387197,3.73,2025-05,0.045081694784562414,4.51
HPWlrUtXsUg,The Data Analytics Path That Actually Works,2025-12-12,1003.0,64125,5435.4712,2662,542.159,1233360,3.3,2025-12,0.04151267056530215,4.15
at_XfhjAeBo,The ONLY 5 Data Analyst Skills That Will Actually Matter in 2026,2025-10-23,891.0,63393,4376.6129,2055,425.067,1087046,3.84,2025-10,0.03241682835644314,3.24
PLj2On29-fM,The ONLY Data Analyst Project You Need to Get Hired in 2026,2025-06-30,592.0,40193,2217.6812,1477,217.691,508353,5.06,2025-06,0.036747692384246015,3.67
zqBaMIMhcGw,STOP Wasting Time On These 3 FAKE Analyst Skills,2025-09-06,587.0,33423,1889.5202,1175,156.701,488343,5.14,2025-09,0.035155431888220685,3.52
-QOjn8aL-44,Why You Should NOT Become an Entry Level Data Analyst (What To Do Instead),2025-06-06,440.0,19040,970.2556,554,63.525,268162,4.99,2025-06,0.029096638655462186,2.91
4x4YI3chd6A,The FASTEST Data Analyst Roadmap for Career Changers in 2026 [FREE COURSE],2025-04-09,3427.0,17879,3532.1053,410,108.939,172397,4.11,2025-04,0.022931931316069132,2.29
Q5QIe31ftxs,How I’d Learn Data Analytics in 2026 (The Rules I’d Follow),2026-01-02,1188.0,14619,1767.8465,436,145.578,235334,3.26,2026-01,0.02982420138176346,2.98
zEoEqnUt-20,Why Data Analyst Certificates Keep You UNEMPLOYED!,2025-05-27,601.0,13540,841.2964,552,21.418,198900,4.4,2025-05,0.04076809453471197,4.08
xs_GgPfLXe4,AI Just Killed These 5 Data Analyst Skills (Do THIS Instead),2026-01-12,880.0,12699,1162.0153,257,104.194,245517,3.43,2026-01,0.020237814001102448,2.02
4lLjpGuLPTc,Copy These 3 Data Analyst Projects (It Will Get You Hired),2025-05-05,454.0,11328,503.9001,598,6.962,256710,2.84,2025-05,0.05278954802259887,5.28
GbPjHXLFZZ0,"I Analyzed 3,855 Data Analyst Job Postings...These Skills Get You Hired",2025-08-22,816.0,11198,961.5564,251,109.293,153972,4.09,2025-08,0.022414716913734596,2.24
ekUOpSQm3Og,Nobody Is Hiring Data Analysts In 2026,2025-12-03,499.0,9692,536.6705,132,64.774,123413,5.14,2025-12,0.01361947998349154,1.36
2pE7UWLOTHQ,Ranking Data Jobs for 2026 (From $50k Hell to $169k Roles),2025-11-05,971.0,9304,836.7685,110,95.919,159296,3.77,2025-11,0.011822871883061048,1.18
PQbOClq_s1A,Don't Become a Data Scientist (Do THIS Instead),2025-11-17,711.0,9271,733.6257,154,73.259,194995,2.9,2025-11,0.016610937331463703,1.66
XPhdpGHFhak,"I Landed 3 Data Analyst Interviews In 30 Days, Here's How",2025-09-03,454.0,8905,386.2757,252,33.047,109653,5.51,2025-09,0.028298708590679393,2.83
Ia-K-VGi9jo,AI Just Changed the Data Analyst Job Market Forever,2025-10-27,558.0,8640,520.6203,137,68.011,134093,4.13,2025-10,0.015856481481481482,1.59
6h97jBAOjzQ,Focus on these 3 in-demand skills.,2025-10-01,49.0,6450,51.2943,29,0.512,73032,4.1,2025-10,0.004496124031007752,0.45
H3M5SKqwM1o,AI is Taking Over the Data Analyst Job Market…Now What?,2025-08-11,530.0,6273,323.4706,112,46.938,58665,5.58,2025-08,0.017854296190020724,1.79
vd415F_Yopw,How I Became a Data Analyst and ACTUALLY Got Hired (Copy Me),2025-09-30,623.0,6255,403.2391,100,43.275,107156,3.65,2025-09,0.01598721023181455,1.6
pZ5wU4ajONw,The Entry-Level Data Analyst Job is a Lie,2025-11-03,572.0,6170,393.8142,102,41.332,99604,4.07,2025-11,0.01653160453808752,1.65
6I3GraG0ubg,The ONLY Way You Can Get Hired in Data Analytics,2025-11-10,480.0,5922,319.7151,71,38.76,82758,4.53,2025-11,0.01198919284025667,1.2
UyDPf624foM,The Highest Paying Data Analyst Skill No One Learns,2026-01-19,1076.0,5895,528.3917,73,49.927,81620,4.77,2026-01,0.012383375742154368,1.24
vTjcVZ-zlZI,You're NOT Ready for The Next Phase of Data Analytics,2025-12-05,987.0,5876,519.0972,75,37.637,100441,3.73,2025-12,0.012763784887678693,1.28
qF8_nGw1NI8,5 Boring But High Paying Data Analyst Jobs in 2026,2025-10-06,689.0,5767,450.4053,103,58.674,95603,3.47,2025-10,0.017860239292526444,1.79
OZVUUftNHH8,Data Analyst vs Data Scientist (What I'd Choose in 2026),2025-10-09,461.0,5159,299.1944,91,25.298,76616,4.12,2025-10,0.017639077340569877,1.76
z5u7ryOb1es,6 FACTS I Wish I Knew Before Becoming a Data Analyst,2025-10-30,599.0,5058,368.0808,89,38.688,86844,3.34,2025-10,0.01759588770264927,1.76
6nCwi1c4YGs,Don't Apply for a Data Analyst Job Until You Watch This,2025-11-20,485.0,4930,260.6901,50,24.965,71066,4.63,2025-11,0.010141987829614604,1.01
pnJqZeqY9EU,Stop using LinkedIn Easy Apply,2025-12-03,93.0,4877,55.6386,18,0.536,39735,4.17,2025-12,0.0036907935206069303,0.37
5snxSZDl3qk,The Harsh Reality of Being a Data Analyst,2026-01-26,742.0,4869,368.2399,65,38.429,74043,4.31,2026-01,0.01334976381187102,1.33
J_Z-e8Mpg6I,"The EXACT Roadmap That Got Me Hired as a Data Analyst ($328,000)",2025-09-10,586.0,4710,317.7911,115,31.939,81156,3.68,2025-09,0.024416135881104035,2.44
9Br36UZXGn4,Take This Test Before You Choose Your Data Career,2025-11-24,900.0,4572,393.4242,35,44.248,75870,3.63,2025-11,0.007655293088363955,0.77
JiPIV-fCvsw,Learn these skills and you'll be in demand,2025-10-10,135.0,4376,80.6953,27,0.503,35798,4.83,2025-10,0.006170018281535649,0.62
6RRCBGqmmQQ,The 5 Data Analyst Levels and How to Reach Them,2025-12-15,643.0,4358,314.6526,60,33.415,70516,3.69,2025-12,0.013767783386874713,1.38
DAo2KHf8esk,"This is Boring, But It'll Get You a Data Analyst Job in 2026",2025-12-22,537.0,4343,254.1234,49,32.263,59892,4.57,2025-12,0.011282523601197329,1.13
gmosQxI4zbw,Your resume is no longer enough in this data analyst job market.,2025-10-31,62.0,3975,26.5834,11,0.321,9941,3.17,2025-10,0.002767295597484277,0.28
nRHhCXTSMGg,Companies are not hiring analysts anymore...,2025-10-08,83.0,3785,43.1237,12,0.412,25631,4.8,2025-10,0.003170409511228534,0.32
gk6A0VUfPpU,Why 99% Self-Taught Data Analysts Never Get Hired,2026-02-02,437.0,3573,184.1618,44,14.32,47274,5.03,2026-02,0.012314581584102995,1.23
2eprf2CVjoM,AI is replacing traditional coding jobs,2025-11-04,37.0,3570,14.5553,2,0.237,7770,2.39,2025-11,0.0005602240896358543,0.06
ZgBbsGLVqYE,3 High Paying Remote Jobs in Tech You Never Heard Of (No Math or Coding Required),2025-07-11,634.0,3292,234.1875,73,28.775,47126,4.14,2025-07,0.022174969623329283,2.22
jH30L4Zi_qc,Data Analyst Roadmaps Don't Work (Here's Proof),2025-06-23,485.0,3277,192.7031,68,7.508,54219,3.72,2025-06,0.020750686603600854,2.08
dhD7ksPpcCg,5 High Paying Data Analyst Jobs Hiring Right Now,2025-08-29,696.0,3195,223.3477,52,25.135,47413,3.82,2025-08,0.016275430359937403,1.63
fkprdaDU7As,The WORST Data Analyst Certificates in 2026,2025-09-25,578.0,3191,222.1474,56,25.045,54381,4.1,2025-09,0.01754935756816045,1.75
i0W_dmYNrak,I Ranked Every Data Analyst Skill So You Don't Waste 6 Months,2026-02-11,1518.0,3128,343.0687,39,14.579,45546,4.9,2026-02,0.012468030690537084,1.25
8ZyvYEClUAs,SQL Interview Whiteboard Question 1: Where are the Managers? Would you pass or fail?,2025-05-03,53.0,3070,25.1717,13,0.021,37659,3.91,2025-05,0.004234527687296417,0.42
YydD3npqL40,Your Data Analyst Job Isn’t Safe...,2025-12-01,943.0,3052,249.0032,30,29.833,55852,3.31,2025-12,0.009829619921363041,0.98
7tc6Qa5MiZY,Most Data Analysts Miss This Skill Completely...,2025-12-17,664.0,3013,184.4936,36,21.428,51198,3.65,2025-12,0.011948224361101892,1.19
U0cOleFSELY,Data Career Coach Ranks Learning Paths 1-10,2025-11-28,71.0,2650,20.7177,4,0.267,11137,4.78,2025-11,0.0015094339622641509,0.15
-6lQ3crwkBU,No experience? No problem!,2025-09-25,61.0,2606,21.8789,12,0.055,12178,4.88,2025-09,0.004604758250191865,0.46
IfCtviW3c5s,In 30 days could you can be landing your first data job?,2025-09-26,42.0,2567,14.6179,9,0.084,25268,3.23,2025-09,0.003506038176860148,0.35
9uPGIPQ27zU,Did We All Get Played? The College Degree Scam,2025-12-02,47.0,2325,10.0946,2,0.248,12583,3.26,2025-12,0.0008602150537634409,0.09
HVWEVWmjVrQ,You Don’t Need Experience to Become a Data Analyst (I’ll Prove It),2025-05-23,470.0,2243,141.7742,61,5.801,37434,3.61,2025-05,0.02719572001783326,2.72
f1s0zFR9-nM,Data Analyst Certificates are Dead…Now What?,2025-08-28,559.0,2077,112.0516,20,13.001,41674,3.44,2025-08,0.009629272989889264,0.96
yUzq4nprsWI,The PERFECT Skill Stack To Get Hired As a Data Analyst In 2026,2025-09-18,816.0,2062,175.8522,38,16.365,42066,2.85,2025-09,0.01842870999030068,1.84
mK5IMlZXo08,Learn SQL FAST | SQL for Data Analysts Roadmap,2025-04-21,296.0,2055,82.5931,39,4.604,21245,6.26,2025-04,0.01897810218978102,1.9
jw-wX2En76k,Employers don’t trust claims. They trust results.,2025-11-07,62.0,2033,14.4709,7,0.167,11078,2.14,2025-11,0.003443187407771766,0.34
D7x_eIkaf9k,Stop Letting Job Descriptions Scare You,2025-11-29,65.0,2022,15.6426,5,0.217,9147,2.51,2025-11,0.002472799208704253,0.25
Xz39nkLAkgo,Live Data Analyst Project: Analyzing U.S. Imports,2025-05-11,3865.0,1830,201.421,46,2.566,22636,4.04,2025-05,0.025136612021857924,2.51
E_E0T97KZrY,The 1 Thing You Need To Unlearn As a Data Analyst,2025-06-04,478.0,1753,96.1768,50,1.874,32973,3.25,2025-06,0.02852253280091272,2.85
sE7UnndDqa8,Companies still care about your degree??,2025-10-03,55.0,1739,12.0052,4,0.158,11741,3.0,2025-10,0.0023001725129384704,0.23
f_EFZsbra1E,3 Things You Must Do Before Applying to Data Analyst Jobs,2025-11-30,86.0,1734,16.3382,6,0.185,9934,3.57,2025-11,0.0034602076124567475,0.35
OjLg6nFZ0pw,TOP 5 IT Skills To Get a $150k Job Fast In 2026,2025-04-28,976.0,1642,155.8074,32,4.212,29189,3.25,2025-04,0.0194884287454324,1.95
InvPG20iGSc,How to Land A Data Analyst Job Using AI & LinkedIn,2025-08-01,4886.0,1638,214.6958,29,0.447,25368,2.63,2025-08,0.017704517704517704,1.77
8UnzeRafSHc,"Bootcamps are flashy, not for learning.",2025-09-29,46.0,1598,7.7825,6,0.056,11492,2.33,2025-09,0.0037546933667083854,0.38
qEvqZRvOlw4,Where will you be in 5 years?,2025-09-17,30.0,1499,4.238,3,0.027,7449,2.93,2025-09,0.0020013342228152103,0.2
UHZwgrFki1E,How to Build the Perfect Data Analyst Portfolio Without Any Code,2025-03-16,3468.0,1473,219.8129,35,4.354,8778,5.59,2025-03,0.02376103190767142,2.38
4U9nm7R0c5A,Companies don't care about your degree,2025-09-14,40.0,1458,5.6866,1,0.01,6616,3.05,2025-09,0.0006858710562414266,0.07
tNb3mbEbkcY,5 MISTAKES Google Data Analytics Certificate Graduates Make,2025-07-09,669.0,1447,112.426,24,7.072,38743,2.44,2025-07,0.0165860400829302,1.66
J_j3mTGUwdE,You don't need to love your job,2025-09-13,35.0,1369,5.2943,0,0.014,5749,2.59,2025-09,0.0,0.0
wq2rVu73p0E,Meet Kedeisha - Your Data Career Coach,2025-03-13,105.0,1344,24.0727,23,5.362,26820,3.89,2025-03,0.01711309523809524,1.71
-IbMc2RKOw4,Land A Data Analyst Job With Networking & AI,2025-11-08,3626.0,1292,151.7832,7,3.427,31572,1.87,2025-11,0.005417956656346749,0.54
H4ifLpr4Msk,Build Wealth in Data Analytics,2025-08-21,138.0,1273,18.1486,9,0.024,5569,5.57,2025-08,0.007069913589945012,0.71
rCCeQPief4Y,"AI will take your job, unless you’re in this career",2025-09-05,28.0,1228,5.4767,1,0.011,5682,2.25,2025-09,0.0008143322475570033,0.08
OJEGb7jUnZM,You're paying more tax than you realize...,2025-09-15,30.0,1179,3.4763,1,0.013,5263,2.13,2025-09,0.0008481764206955047,0.08
rOS7vy_d8w8,Are you stuck in tutorial loop?,2025-09-12,33.0,1168,3.829,4,0.008,4502,1.78,2025-09,0.003424657534246575,0.34
AznCwauK890,Don't be cut out in the next round of job cuts.,2025-09-09,32.0,1142,3.6219,0,0.006,3261,2.05,2025-09,0.0,0.0
abCgidpU2XA,Where will you be in 6 months?,2025-09-10,28.0,1141,2.9752,0,0.007,3979,2.66,2025-09,0.0,0.0
1dmqFDd5-Rs,"Every day you wait, you’re losing money",2025-09-06,41.0,1013,3.546,0,0.005,2804,2.1,2025-09,0.0,0.0
cZNY5hcASzU,Tech Recruiter Secrets: How to Get Hired in Data Analytics in 2025,2025-03-25,3782.0,971,214.7671,8,2.168,7632,2.9,2025-03,0.008238928939237899,0.82
Rymznc_R6Qw,Data Analyst Interview Prep with the Pros,2025-09-26,3794.0,939,117.8446,10,0.662,16295,2.3,2025-09,0.010649627263045794,1.06
kgfHyPGdd30,Live LinkedIn & Portfolio Audits for Data Analysts,2025-05-31,3975.0,926,98.865,23,0.611,9581,4.7,2025-05,0.024838012958963283,2.48
qWZJBs0Qq9w,Live Resume Roast with a Senior Tech Recruiter,2025-04-01,5269.0,828,259.0773,7,1.935,4749,3.39,2025-04,0.008454106280193236,0.85
053cC-qsHpM,Live LinkedIn & Portfolio Audits for Data Analysts,2025-06-14,3827.0,723,59.1576,21,0.57,12333,3.49,2025-06,0.029045643153526972,2.9
bTs_IpbX6Xc,Live LinkedIn & Portfolio Audits for Data Analysts,2025-06-07,3514.0,624,59.77,12,0.318,10169,3.22,2025-06,0.019230769230769232,1.92
5KeJSpMIf-s,Live LinkedIn & Portfolio Audits for Data Analysts,2025-06-21,3171.0,588,71.5864,18,15.274,10289,3.15,2025-06,0.030612244897959183,3.06
9CwRk9UrY3M,How to Land Your First Tech Job in 2026,2026-02-06,3532.0,574,51.9818,7,,10312,2.37,2026-02,0.012195121951219513,1.22
5Ygg3RYf830,Live Data Analyst Resume Review with REAL Tech Recruiters,2025-12-05,3922.0,543,72.5378,0,0.207,13656,1.98,2025-12,0.0,0.0
VuNXMuL3wwU,Live Data Analyst Resume Review with REAL Tech Recruiters 📱,2025-12-05,3920.0,500,48.8925,2,0.039,12661,1.6,2025-12,0.004,0.4
bQe-HkyGbWQ,How to Land 10x More Data Analyst Interviews with AI,2025-06-13,4337.0,495,68.9112,9,1.002,11812,2.06,2025-06,0.01818181818181818,1.82
S5M1iajbiow,State of the Data Analyst Job Market 2025: Top Job Seeker Mistakes,2025-05-16,4836.0,433,87.4288,15,3.057,7603,2.5,2025-05,0.03464203233256351,3.46
q2NQlv2RCW0,ATS Myths: The Truth About AI and Your Applications,2025-09-05,3980.0,404,57.5466,6,0.108,10457,1.24,2025-09,0.01485148514851485,1.49
5MBWfuVuvgg,Meta SQL Interview Question: Page With No Likes,2022-10-02,427.0,273,7.8607,0,0.648,1173,6.31,2022-10,0.0,0.0
OQpK2exaOvk,Customize GPT To Write Custom Content,,614.0,264,31.0241,0,0.002,2,0.0,,0.0,0.0
-XOwYTS3vBI,DIM Challenge,,315.0,207,14.956,0,0.001,0,,,0.0,0.0
iyt4M5Q11fk,How to Create GIFS,,351.0,202,15.6419,0,0.001,0,,,0.0,0.0
ajHfXv0ULP0,Readability Tips for Engaging Content,,111.0,199,5.1765,0,0.001,0,,,0.0,0.0
RrhBE3hgf9U,How to add code snippets to your content,,169.0,160,6.368,0,,0,,,0.0,0.0
v68CIUkJnD8,Launch Your Data Career in 2025,,29.0,153,1.1122,0,,0,,,0.0,0.0
qfwTMeXk3SE,3 Steps to Become a Data Analyst in 2025 | Free Training,2025-03-17,3112.0,117,7.1328,3,,1950,2.82,2025-03,0.02564102564102564,2.56
q4wVcpmlN3Q,McKinsey Hard SQL Interview Question for Data Analysts and Data Scientists,2023-09-05,1504.0,111,4.2653,1,0.029,1364,5.21,2023-09,0.009009009009009009,0.9
6N-a3aUSAKU,Robinhood SQL Interview Question: Cities with Completed Trades,2022-10-24,650.0,52,3.3506,0,0.222,1218,2.22,2022-10,0.0,0.0
VUOznCNVshE,Uber SQL Interview Question: User's Third Transaction,2022-11-21,445.0,41,1.8347,1,0.066,1266,1.97,2022-11,0.024390243902439025,2.44
vruP9FXcq2Q,Snapchat Intermediate SQL Interview Question for Data Analysts and Data Scientists,2023-01-20,970.0,38,1.4019,0,0.024,1282,1.56,2023-01,0.0,0.0
xZatHqSkd90,Wine Magazine Hard SQL Interview Question for Data Analysts and Data Scientists,2023-05-10,443.0,29,0.8656,0,0.022,1249,1.44,2023-05,0.0,0.0
I3YKCpYIZZk,Recruiter Secrets Get Hired ASAP with Emily: Interviews,,6909.0,24,5.8522,0,,0,,,0.0,0.0
6tdedAcpXC0,"Watch This To Become Valuable In Your Data Career | Vin Vashishta, Data Strategist",2023-01-30,3112.0,21,2.9439,1,0.003,142,6.34,2023-01,0.047619047619047616,4.76
52f3YsZtuls,Important Skills to Be Successful in Data: Part II,2022-12-02,100.0,16,0.2362,0,0.018,92,14.13,2022-12,0.0,0.0
WHXFDX3lao0,Build Your Online Credibility Monthly Challenge for DIM,,181.0,15,0.2979,0,,1,0.0,,0.0,0.0
bW2dskpAE5o,Test,,3428.0,11,0.6741,0,,0,,,0.0,0.0
eF7z-C6y52I,Ronnie After Program Interview,,1742.0,11,0.6203,0,,0,,,0.0,0.0
